Pwm,Rpm(tacho),Thrust(gram),Raw_rpm,Current (A)
5,748,10,6,0.1
10,925,17,8,0.1
15,1093,25,9,0.2
20,1253,35,11,0.2
25,1408,45,12,0.3
30,1561,56,13,0.3
35,1708,69,15,0.4
40,1847,83,16,0.5
45,1986,97,17,0.6
50,2123,111,18,0.7
55,2254,126,20,0.8
60,2385,142,21,0.9
65,2510,160,22,1
70,2630,176,23,1.2
75,2761,196,24,1.3
80,2958,226,27,1.6
85,3088,250,28,1.8
90,3220,272,29,2
95,3345,296,31,2.2
100,3472,316,32,2.5
105,3595,342,33,2.7
110,3715,364,34,3
115,3834,390,35,3.3
120,3945,419,36,3.6
125,4050,442,37,3.9
130,4165,467,38,4.2
